Rk,Player,From,To,Draft,Tm,Lg,Ht,Wt,BMI,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,Y/G,W,L,T,Yrs,PB,AP1,AV
505,Craig Whelihan,1997,1998,6,SDG,NFL,77,220,26.1,19,14,267,557,47.94,3160,14,29,52.4,5.67,166.3,2,12,0,2,0,0,1
506,Danny White,1983,1988,3,DAL,NFL,74,193,24.8,65,51,1066,1773,60.12,12765,86,76,80.5,7.2,196.4,32,19,0,6,0,0,41
507,Pat White,2009,2009,2,MIA,NFL,72,190,25.8,13,0,0,5,0,0,0,0,39.6,0,0,0,0,0,1,0,0,1
508,Charlie Whitehurst,2006,2016,3,TOT,NFL,76,220,26.8,26,9,219,396,55.3,2463,11,8,74.9,6.22,94.7,2,7,0,8,0,0,7
509,David Whitehurst,1983,1983,8,GNB,NFL,74,204,26.2,4,0,18,35,51.43,149,0,2,38.9,4.26,37.3,0,0,0,1,0,0,0
510,Erik Wilhelm,1989,1996,3,CIN,NFL,75,217,27.1,22,1,77,136,56.62,912,5,6,71.1,6.71,41.5,0,1,0,6,0,0,3
511,Doug Williams,1986,1989,1,WAS,NFL,76,220,26.8,21,14,345,617,55.92,4350,27,20,79.1,7.05,207.1,5,9,0,4,0,0,14
512,Peter Tom Willis,1990,1993,3,CHI,NFL,74,188,24.1,21,3,104,183,56.83,1261,6,15,54.9,6.89,60,0,3,0,4,0,0,4
513,Dave Wilson,1983,1988,1,NOR,NFL,75,206,25.7,42,27,469,880,53.3,5929,35,44,67,6.74,141.2,11,16,0,6,0,0,17
514,Marc Wilson,1983,1990,1,TOT,NFL,78,205,23.7,103,51,908,1708,53.16,12045,72,83,69.6,7.05,116.9,27,24,0,7,0,0,35
515,John Witkowski,1984,1988,6,DET,NFL,73,200,26.4,5,1,13,35,37.14,210,0,0,58,6,42,0,1,0,2,0,0,1
516,David Woodley,1983,1985,8,TOT,NFL,74,210,27,21,18,222,428,51.87,3158,17,25,65,7.38,150.4,10,8,0,3,0,0,12
517,Anthony Wright,2000,2007,,TOT,NFL,73,211,27.8,31,19,332,605,54.88,3590,20,25,66.3,5.93,115.8,8,11,0,6,0,0,11
518,Randy Wright,1984,1988,6,GNB,NFL,74,200,25.7,46,32,602,1119,53.8,7106,31,57,61.4,6.35,154.5,7,25,0,5,0,0,15
519,Danny Wuerffel,1997,2002,4,TOT,NFL,73,212,28,25,10,184,350,52.57,2123,12,22,56.4,6.07,84.9,4,6,0,6,0,0,6
520,Spergon Wynn,2000,2001,6,TOT,NFL,75,226,28.2,10,3,70,152,46.05,585,1,7,39.5,3.85,58.5,0,3,0,2,0,0,2
521,T.J. Yates,2011,2017,5,TOT,NFL,76,215,26.2,22,10,179,324,55.25,2057,10,11,70.7,6.35,93.5,4,6,0,7,0,0,6
522,Eric Zeier,1995,2000,3,TOT,NFL,73,214,28.2,28,12,301,537,56.05,3520,16,15,74.4,6.55,125.7,4,8,0,6,0,0,6
523,Scott Zolak,1992,1999,4,TOT,NFL,77,230,27.3,55,7,124,248,50,1314,8,7,64.8,5.3,23.9,3,4,0,8,0,0,4
524,Jim Zorn,1983,1987,,TOT,NFL,74,200,25.7,46,14,186,381,48.82,2239,11,17,58.3,5.88,48.7,8,6,0,4,0,0,7
